perturb,severity,task_idx,task,rollout,success,steps,jerk
noise,3,0,alphabet_soup,7,1,152,0.02761
noise,3,0,alphabet_soup,8,1,170,0.02807
noise,3,0,alphabet_soup,9,1,209,0.02807
noise,3,1,cream_cheese,0,0,400,0.04071
noise,3,1,cream_cheese,1,0,400,0.04312
noise,3,1,cream_cheese,2,0,400,0.04323
noise,3,1,cream_cheese,3,0,400,0.03537
noise,3,1,cream_cheese,4,0,400,0.04288
noise,3,1,cream_cheese,5,0,400,0.03772
noise,3,1,cream_cheese,6,0,400,0.0379
noise,3,1,cream_cheese,7,0,400,0.03933
noise,3,1,cream_cheese,8,0,400,0.03794
noise,3,1,cream_cheese,9,0,400,0.04522
noise,3,2,salad_dressing,0,1,119,0.02115
noise,3,2,salad_dressing,1,1,120,0.02318
noise,3,2,salad_dressing,2,1,115,0.02272
noise,3,2,salad_dressing,3,1,122,0.02132
noise,3,2,salad_dressing,4,1,134,0.02642
noise,3,2,salad_dressing,5,1,169,0.03013
noise,3,2,salad_dressing,6,1,119,0.02406
noise,3,2,salad_dressing,7,0,400,0.02907
noise,3,2,salad_dressing,8,1,134,0.02213
noise,3,2,salad_dressing,9,1,117,0.0255
noise,3,3,bbq_sauce,0,0,400,0.03401
noise,3,3,bbq_sauce,1,1,200,0.02966
noise,3,3,bbq_sauce,2,1,176,0.0264
noise,3,3,bbq_sauce,3,1,199,0.02921
noise,3,3,bbq_sauce,4,1,155,0.03013
noise,3,3,bbq_sauce,5,0,400,0.02906
noise,3,3,bbq_sauce,6,0,400,0.0335
noise,3,3,bbq_sauce,7,1,159,0.02794
noise,3,3,bbq_sauce,8,0,400,0.03542
noise,3,3,bbq_sauce,9,1,145,0.02589
noise,3,4,ketchup,0,1,178,0.02122
noise,3,4,ketchup,1,0,400,0.02929
noise,3,4,ketchup,2,0,400,0.02827
noise,3,4,ketchup,3,0,400,0.02805
noise,3,4,ketchup,4,0,400,0.03029
noise,3,4,ketchup,5,0,400,0.0289
noise,3,4,ketchup,6,0,400,0.02766
noise,3,4,ketchup,7,0,400,0.03215
noise,3,4,ketchup,8,0,400,0.03353
noise,3,4,ketchup,9,0,400,0.02746
noise,3,5,tomato_sauce,0,0,400,0.03324
noise,3,5,tomato_sauce,1,0,400,0.03671
noise,3,5,tomato_sauce,2,1,141,0.03378
noise,3,5,tomato_sauce,3,0,400,0.0321
noise,3,5,tomato_sauce,4,1,183,0.02469
noise,3,5,tomato_sauce,5,0,400,0.03403
noise,3,5,tomato_sauce,6,0,400,0.02951
noise,3,5,tomato_sauce,7,0,400,0.03638
noise,3,5,tomato_sauce,8,0,400,0.03671
noise,3,5,tomato_sauce,9,0,400,0.03605
noise,3,6,butter,0,0,400,0.04285
noise,3,6,butter,1,0,400,0.04305
noise,3,6,butter,2,0,400,0.04393
noise,3,6,butter,3,0,400,0.0397
noise,3,6,butter,4,1,248,0.03179
noise,3,6,butter,5,0,400,0.04026
noise,3,6,butter,6,0,400,0.03975
noise,3,6,butter,7,0,400,0.04248
noise,3,6,butter,8,0,400,0.04361
noise,3,6,butter,9,0,400,0.04101
noise,3,7,milk,0,1,142,0.02057
noise,3,7,milk,1,1,143,0.01885
noise,3,7,milk,2,1,141,0.02045
noise,3,7,milk,3,1,143,0.01861
noise,3,7,milk,4,1,148,0.01977
noise,3,7,milk,5,1,142,0.02007
noise,3,7,milk,6,1,151,0.01834
noise,3,7,milk,7,1,143,0.02007
noise,3,7,milk,8,1,147,0.02084
noise,3,7,milk,9,1,140,0.02031
noise,3,8,chocolate_pudding,0,1,208,0.02742
noise,3,8,chocolate_pudding,1,1,168,0.02027
noise,3,8,chocolate_pudding,2,1,208,0.02555
noise,3,8,chocolate_pudding,3,1,211,0.02339
noise,3,8,chocolate_pudding,4,1,158,0.01958
noise,3,8,chocolate_pudding,5,1,200,0.02469
noise,3,8,chocolate_pudding,6,1,209,0.0241
noise,3,8,chocolate_pudding,7,1,232,0.0237
noise,3,8,chocolate_pudding,8,1,186,0.02496
noise,3,8,chocolate_pudding,9,1,199,0.02635
noise,3,9,orange_juice,0,1,128,0.02141
noise,3,9,orange_juice,1,1,117,0.02118
noise,3,9,orange_juice,2,0,400,0.0409
