model,params,task_idx,task,rollout,success,steps,jerk
FNO-VLA_sv_ep5,28.9M,2,salad_dressing,16,1,132,0.01833
FNO-VLA_sv_ep5,28.9M,2,salad_dressing,17,1,133,0.02005
FNO-VLA_sv_ep5,28.9M,2,salad_dressing,18,1,137,0.01921
FNO-VLA_sv_ep5,28.9M,2,salad_dressing,19,1,132,0.01771
FNO-VLA_sv_ep5,28.9M,3,bbq_sauce,0,0,400,0.03788
FNO-VLA_sv_ep5,28.9M,3,bbq_sauce,1,0,400,0.03464
FNO-VLA_sv_ep5,28.9M,3,bbq_sauce,2,0,400,0.03277
FNO-VLA_sv_ep5,28.9M,3,bbq_sauce,3,0,400,0.03483
FNO-VLA_sv_ep5,28.9M,3,bbq_sauce,4,0,400,0.03492
FNO-VLA_sv_ep5,28.9M,3,bbq_sauce,5,0,400,0.03493
FNO-VLA_sv_ep5,28.9M,3,bbq_sauce,6,0,400,0.03478
FNO-VLA_sv_ep5,28.9M,3,bbq_sauce,7,0,400,0.03598
FNO-VLA_sv_ep5,28.9M,3,bbq_sauce,8,0,400,0.03598
FNO-VLA_sv_ep5,28.9M,3,bbq_sauce,9,0,400,0.03629
FNO-VLA_sv_ep5,28.9M,3,bbq_sauce,10,0,400,0.0345
FNO-VLA_sv_ep5,28.9M,3,bbq_sauce,11,0,400,0.03414
FNO-VLA_sv_ep5,28.9M,3,bbq_sauce,12,0,400,0.03462
FNO-VLA_sv_ep5,28.9M,3,bbq_sauce,13,1,283,0.03241
FNO-VLA_sv_ep5,28.9M,3,bbq_sauce,14,0,400,0.03338
FNO-VLA_sv_ep5,28.9M,3,bbq_sauce,15,0,400,0.02983
FNO-VLA_sv_ep5,28.9M,3,bbq_sauce,16,0,400,0.03273
FNO-VLA_sv_ep5,28.9M,3,bbq_sauce,17,0,400,0.03325
FNO-VLA_sv_ep5,28.9M,3,bbq_sauce,18,0,400,0.03341
FNO-VLA_sv_ep5,28.9M,3,bbq_sauce,19,0,400,0.0326
FNO-VLA_sv_ep5,28.9M,4,ketchup,0,1,394,0.02919
FNO-VLA_sv_ep5,28.9M,4,ketchup,1,1,161,0.01904
FNO-VLA_sv_ep5,28.9M,4,ketchup,2,0,400,0.03046
FNO-VLA_sv_ep5,28.9M,4,ketchup,3,1,247,0.02329
FNO-VLA_sv_ep5,28.9M,4,ketchup,4,1,198,0.02112
FNO-VLA_sv_ep5,28.9M,4,ketchup,5,1,240,0.02302
FNO-VLA_sv_ep5,28.9M,4,ketchup,6,0,400,0.02699
FNO-VLA_sv_ep5,28.9M,4,ketchup,7,0,400,0.03137
FNO-VLA_sv_ep5,28.9M,4,ketchup,8,1,398,0.02517
FNO-VLA_sv_ep5,28.9M,4,ketchup,9,0,400,0.0308
FNO-VLA_sv_ep5,28.9M,4,ketchup,10,1,198,0.01958
FNO-VLA_sv_ep5,28.9M,4,ketchup,11,1,152,0.01884
FNO-VLA_sv_ep5,28.9M,4,ketchup,12,1,262,0.02418
FNO-VLA_sv_ep5,28.9M,4,ketchup,13,0,400,0.03036
FNO-VLA_sv_ep5,28.9M,4,ketchup,14,1,238,0.02214
FNO-VLA_sv_ep5,28.9M,4,ketchup,15,1,268,0.02088
FNO-VLA_sv_ep5,28.9M,4,ketchup,16,0,400,0.02867
FNO-VLA_sv_ep5,28.9M,4,ketchup,17,1,290,0.02312
FNO-VLA_sv_ep5,28.9M,4,ketchup,18,0,400,0.03066
FNO-VLA_sv_ep5,28.9M,4,ketchup,19,0,400,0.02653
FNO-VLA_sv_ep5,28.9M,5,tomato_sauce,0,0,400,0.04145
FNO-VLA_sv_ep5,28.9M,5,tomato_sauce,1,1,152,0.02975
FNO-VLA_sv_ep5,28.9M,5,tomato_sauce,2,0,400,0.0389
FNO-VLA_sv_ep5,28.9M,5,tomato_sauce,3,1,237,0.0418
FNO-VLA_sv_ep5,28.9M,5,tomato_sauce,4,0,400,0.03041
FNO-VLA_sv_ep5,28.9M,5,tomato_sauce,5,0,400,0.02828
FNO-VLA_sv_ep5,28.9M,5,tomato_sauce,6,0,400,0.04273
FNO-VLA_sv_ep5,28.9M,5,tomato_sauce,7,0,400,0.02812
FNO-VLA_sv_ep5,28.9M,5,tomato_sauce,8,1,147,0.02939
FNO-VLA_sv_ep5,28.9M,5,tomato_sauce,9,0,400,0.03972
FNO-VLA_sv_ep5,28.9M,5,tomato_sauce,10,1,153,0.02743
FNO-VLA_sv_ep5,28.9M,5,tomato_sauce,11,1,263,0.04034
FNO-VLA_sv_ep5,28.9M,5,tomato_sauce,12,1,237,0.03837
FNO-VLA_sv_ep5,28.9M,5,tomato_sauce,13,0,400,0.03938
FNO-VLA_sv_ep5,28.9M,5,tomato_sauce,14,0,400,0.03009
FNO-VLA_sv_ep5,28.9M,5,tomato_sauce,15,1,363,0.04256
FNO-VLA_sv_ep5,28.9M,5,tomato_sauce,16,0,400,0.02976
FNO-VLA_sv_ep5,28.9M,5,tomato_sauce,17,0,400,0.04216
FNO-VLA_sv_ep5,28.9M,5,tomato_sauce,18,0,400,0.03959
FNO-VLA_sv_ep5,28.9M,5,tomato_sauce,19,0,400,0.03878
FNO-VLA_sv_ep5,28.9M,6,butter,0,1,170,0.0225
FNO-VLA_sv_ep5,28.9M,6,butter,1,1,163,0.02221
FNO-VLA_sv_ep5,28.9M,6,butter,2,1,163,0.02245
FNO-VLA_sv_ep5,28.9M,6,butter,3,0,400,0.04148
FNO-VLA_sv_ep5,28.9M,6,butter,4,1,170,0.02408
FNO-VLA_sv_ep5,28.9M,6,butter,5,1,160,0.02139
FNO-VLA_sv_ep5,28.9M,6,butter,6,0,400,0.0405
FNO-VLA_sv_ep5,28.9M,6,butter,7,1,154,0.02366
FNO-VLA_sv_ep5,28.9M,6,butter,8,1,169,0.02055
FNO-VLA_sv_ep5,28.9M,6,butter,9,1,201,0.03027
FNO-VLA_sv_ep5,28.9M,6,butter,10,1,177,0.02282
FNO-VLA_sv_ep5,28.9M,6,butter,11,1,163,0.02146
FNO-VLA_sv_ep5,28.9M,6,butter,12,1,179,0.02256
FNO-VLA_sv_ep5,28.9M,6,butter,13,1,162,0.01997
FNO-VLA_sv_ep5,28.9M,6,butter,14,1,178,0.02375
FNO-VLA_sv_ep5,28.9M,6,butter,15,1,151,0.01993
FNO-VLA_sv_ep5,28.9M,6,butter,16,0,400,0.03836
FNO-VLA_sv_ep5,28.9M,6,butter,17,1,170,0.02193
FNO-VLA_sv_ep5,28.9M,6,butter,18,1,161,0.02183
FNO-VLA_sv_ep5,28.9M,6,butter,19,1,195,0.02203
FNO-VLA_sv_ep5,28.9M,7,milk,0,1,170,0.02498
FNO-VLA_sv_ep5,28.9M,7,milk,1,1,147,0.01727
FNO-VLA_sv_ep5,28.9M,7,milk,2,1,155,0.01606
FNO-VLA_sv_ep5,28.9M,7,milk,3,1,148,0.01587
FNO-VLA_sv_ep5,28.9M,7,milk,4,1,176,0.01927
FNO-VLA_sv_ep5,28.9M,7,milk,5,1,147,0.01688
FNO-VLA_sv_ep5,28.9M,7,milk,6,1,142,0.01531
FNO-VLA_sv_ep5,28.9M,7,milk,7,1,146,0.01667
FNO-VLA_sv_ep5,28.9M,7,milk,8,1,146,0.01563
FNO-VLA_sv_ep5,28.9M,7,milk,9,1,145,0.01757
FNO-VLA_sv_ep5,28.9M,7,milk,10,1,149,0.01477
FNO-VLA_sv_ep5,28.9M,7,milk,11,1,142,0.01625
FNO-VLA_sv_ep5,28.9M,7,milk,12,1,140,0.01693
FNO-VLA_sv_ep5,28.9M,7,milk,13,1,151,0.01425
FNO-VLA_sv_ep5,28.9M,7,milk,14,1,178,0.02272
FNO-VLA_sv_ep5,28.9M,7,milk,15,0,400,0.03237
FNO-VLA_sv_ep5,28.9M,7,milk,16,1,148,0.01445
FNO-VLA_sv_ep5,28.9M,7,milk,17,1,145,0.01687
FNO-VLA_sv_ep5,28.9M,7,milk,18,0,400,0.03241
FNO-VLA_sv_ep5,28.9M,7,milk,19,1,143,0.01594
FNO-VLA_sv_ep5,28.9M,8,chocolate_pudding,0,1,199,0.01883
FNO-VLA_sv_ep5,28.9M,8,chocolate_pudding,1,1,160,0.02083
FNO-VLA_sv_ep5,28.9M,8,chocolate_pudding,2,1,152,0.01596
FNO-VLA_sv_ep5,28.9M,8,chocolate_pudding,3,1,198,0.02077
FNO-VLA_sv_ep5,28.9M,8,chocolate_pudding,4,1,202,0.01964
FNO-VLA_sv_ep5,28.9M,8,chocolate_pudding,5,1,152,0.01756
FNO-VLA_sv_ep5,28.9M,8,chocolate_pudding,6,1,151,0.01821
FNO-VLA_sv_ep5,28.9M,8,chocolate_pudding,7,1,154,0.01597
